Song Name,Song Link,Language,comments
fevicol se,https://www.youtube.com/watch?v=-HjIvD09SAM&ab_channel=AmyAela,,
gori gori,https://www.youtube.com/watch?v=YlPcaiNIiUY&ab_channel=T-Series,,
chaiya chaiya,https://www.youtube.com/watch?v=0T9mrjlDcNs&ab_channel=Mctp,,
udta punjab,https://www.youtube.com/watch?v=Ezsb5afVXQQ&ab_channel=ZeeMusicCompany,,
malhari,https://www.youtube.com/watch?v=l_MyUGq7pgs&ab_channel=ErosNowMusic,,
make some noise for the desi boyz,https://www.youtube.com/watch?v=o0ZXANjujO8&ab_channel=KK-Topic,,
show me the thumka,https://www.youtube.com/watch?v=KgpFBdapobY&ab_channel=T-Series,,
 high heels te nacche,https://www.youtube.com/watch?v=N_KpjLhJa1k&ab_channel=T-Series,,
gangam style,https://www.youtube.com/watch?v=9bZkp7q19f0&ab_channel=officialpsy,,
shake it off,https://youtu.be/nfWlot6h_JM?si=7avh3DQ90w4HAnJJ,,
lets nacho,https://youtu.be/TLnwqAarPkM?si=IPKpgcgEUsgJvY5r,,
bhag dk bose,https://youtu.be/vs1IDdap3X4?si=en0Isx9-qwLEF2No,,
badshah o badshah,https://youtu.be/1XwYoWDvDLA?si=VPFXGvIMmnqqJdHY,,
ghagra,https://youtu.be/k7vNilNjAwE?si=79KrdKBw_PfWucZA,,
dard e disco,https://youtu.be/cKs83ZQxYKA?si=dBl2AHUNGeiyCBUp,,
club cant handle me,https://youtu.be/SgM3r8xKfGE?si=y0NxL-qqxUuAXJ6-,,
Barbaadiyaan,https://youtu.be/vJQMhj6WYZA?si=QYbdCQxPL7aYiEIv,,
Humma song,https://youtu.be/51Oz0l-qR3M?si=n-yB_EJrnEX9e98U,,
Low -Flo Rida,https://youtu.be/U2waT9TxPU0?si=F7PDG7532YW8IT4i,,
Velmuruga harohara,https://www.youtube.com/watch?v=Ppo3oPo4NYw,Malayalam,
Pathinalam Ravinte,https://www.youtube.com/watch?v=eZkVkknmnyk,Malayalam,from 0:59
Thinkale Poothinkale,https://www.youtube.com/watch?v=lZpULD9Vv5c,Malayalam,from 0:41
Pista,https://www.youtube.com/watch?v=SuuypjzzqRw,Malayalam,
Oru chik chik chirakil,https://www.youtube.com/watch?v=CP9NgfjLIMY,Malayalam,from 0:55
Chettikulangara,https://www.youtube.com/watch?v=mPFKTu8Cw_k,Malayalam,from 0:11
Kakkothikavile,https://www.youtube.com/watch?v=AYSDoOaO7Mk,Malayalam,from 0:35
Ollulleru,https://www.youtube.com/watch?v=6R4S_-vgUEw,Malayalam,
Dj Tillu,https://youtu.be/M-954V9LORI?si=BYPbeJPwvoHb8pg2,Telugu,
La La Bheemla,https://youtu.be/aW8loFFFOsU?si=YYIdge_mwXF6xKC-,Telugu,
Pulsar Bike,https://youtu.be/c9fXiv1UELo?si=j0qxYW7SnbizAwAQ,Telugu,
Ranjithame,https://youtu.be/unQlCp-lL6I?si=JZZFFUuVHCKJoP-5,Tamil,
